Clade,Taxon,Recon.Method,Recon.BM,Gait,HCFC,HC,FC
Ornithischia,Ankylosaurus magniventris,Polynomial,1719200,quad,678,315,363
Ornithischia,Edmontonia rugosidens,Physical,3472000,quad,446,209,237
Ornithischia,Edmontonia rugosidens,Physical,3070000,quad,446,209,237
Ornithischia,Sauropelta edwardsi,Physical,2100000,quad,573,256,317
Ornithischia,Sauropelta edwardsi,Physical,1990000,quad,573,256,317
Ornithischia,Sauropelta edwardsi,Polynomial,902900,quad,573,256,317
Ornithischia,Scolosaurus cutleri,Slicing,2131000,quad,522,244,278
Ornithischia,Scolosaurus cutleri,Slicing,1966000,quad,522,244,278
Ornithischia,Scolosaurus cutleri,Physical,2300000,quad,522,244,278
Ornithischia,Scolosaurus cutleri,Polynomial,2675900,quad,522,244,278
Ornithischia,Montanoceratops cerorhynchus,Physical,170000,quad,208.8,86.3,122.5
Ornithischia,Pachycephalosaurus wyomingensis,Physical,450000,bip,,,189
Ornithischia,Pentaceratops sternbergii,Polynomial,4846000,quad,912,400.5,511.5
Ornithischia,Protoceratops andrewsi,Physical,177000,quad,155,62,93
Ornithischia,Protoceratops andrewsi,Physical,164000,quad,155,62,93
Ornithischia,Protoceratops andrewsi,Polynomial,23700,quad,155,62,93
Ornithischia,Psittacosaurus mongoliensis,Physical,14000,bip,,,57
Ornithischia,Psittacosaurus mongoliensis,Polynomial,12100,bip,,,57
Ornithischia,Psittacosaurus neimongoliensis,Slicing,20300,bip,,,57
Ornithischia,Styracosaurus albertensis,Physical,4100000,quad,645,280,365
Ornithischia,Styracosaurus albertensis,Physical,3686000,quad,645,280,365
Ornithischia,Styracosaurus albertensis,Physical,1800000,quad,645,280,365
Ornithischia,Triceratops,Physical,9400000,quad,930,410,520
Ornithischia,Triceratops,Physical,8478000,quad,930,410,520
Ornithischia,Triceratops horridus,Slicing,3938000,quad,781,345,436
Ornithischia,Triceratops horridus,Polynomial,4964000,quad,781,345,436
Ornithischia,Triceratops prorsus,Physical,6100000,quad,781,345,436
Ornithischia,Triceratops prorsus,Physical,6400000,quad,781,345,436
Ornithischia,Camptosaurus dispar,Physical,383000,quad,389,114,275
Ornithischia,Camptosaurus dispar,Physical,513000,quad,389,114,275
Ornithischia,Camptosaurus prestwichii,Polynomial,268400,quad,389,114,275
Ornithischia,Corythosaurus casuarius,Physical,3820000,quad,602.5,237.5,365
Ornithischia,Corythosaurus casuarius,Physical,2800000,quad,602.5,237.5,365
Ornithischia,Corythosaurus casuarius,Polynomial,3078500,quad,602.5,237.5,365
Ornithischia,Dryosaurus altus,Polynomial,104300,bip,,,133
Ornithischia,Edmontosaurus annectens,Polynomial,3990800,quad,727,267,460
Ornithischia,Gasparinisaura cincosaltensis,Physical,13000,bip,,,55
Ornithischia,Gasparinisaura cincosaltensis,Polynomial,980,bip,,,55
Ornithischia,Hypsilophodon foxii,Physical,21000,bip,,,74
Ornithischia,Rhabdodon priscum,Physical,108000,quad,208,83,125
Ornithischia,Saurolophus angustirostris,Physical,3280000,quad,764,255,509
Ornithischia,Shantugosaurus giganteus,Physical,13000000,quad,1084,404,680
Ornithischia,Shantugosaurus giganteus,Physical,9900000,quad,1084,404,680
Ornithischia,Tsintaosaurus spinorhinus,Physical,2500000,quad,675,250,425
Ornithischia,Anchisaurus sinensis,Polynomial,84000,bip,,,70
Ornithischia,Scelidosaurus harrisonii,Polynomial,64500,bip,,,174
Ornithischia,Stegosaurus,Physical,2000000,quad,745,355,390
Ornithischia,Stegosaurus,Physical,1777000,quad,745,355,390
Ornithischia,Stegosaurus armatus,Slicing,2704000,quad,822,377,445
Ornithischia,Stegosaurus armatus,Slicing,1821000,quad,822,377,445
Ornithischia,Stegosaurus armatus,Physical,2200000,quad,822,377,445
Ornithischia,Stegosaurus stenops,Slicing,2530000,quad,822,377,445
Ornithischia,Stegosaurus stenops,Polynomial,2610600,quad,822,377,445
Ornithischia,Stegosaurus ungulatus,Physical,3100000,quad,745,355,390
Sauropodomorpha,Europasaurus holgeri,Physical,760000,quad,390,190,200
Sauropodomorpha,Apatosaurinae indet.,Physical,33500000,quad,1310,580,730
Sauropodomorpha,Apatosaurinae indet.,Physical,27869000,quad,1310,580,730
Sauropodomorpha,Apatosaurinae indet.,Physical,32418000,quad,1310,580,730
Sauropodomorpha,Apatosaurinae indet.,Physical,34200000,quad,1310,580,730
Sauropodomorpha,Diplodocus carnegiei,Physical,18500000,quad,989,443,546
Sauropodomorpha,Diplodocus carnegiei,Physical,11700000,quad,989,443,546
Sauropodomorpha,Diplodocus carnegiei,Physical,15200000,quad,989,443,546
Sauropodomorpha,Diplodocus carnegiei,Physical,10562000,quad,989,443,546
Sauropodomorpha,Diplodocus carnegiei,Photogrammetry,32440000,quad,989,443,546
Sauropodomorpha,Diplodocus carnegiei,Slicing,13421000,quad,989,443,546
Sauropodomorpha,Diplodocus carnegiei,Slicing,12099000,quad,989,443,546
Sauropodomorpha,Diplodocus carnegiei,Physical,16000000,quad,989,443,546
Sauropodomorpha,Diplodocus carnegiei,Physical,11400000,quad,989,443,546
Sauropodomorpha,Diplodocus carnegiei,Polynomial,19654600,quad,989,443,546
Sauropodomorpha,Camarasaurus lentus,MCH,9779780,quad,1102,472,630
Sauropodomorpha,Camarasaurus lentus,MCH,12410960,quad,1102,472,630
Sauropodomorpha,Camarasaurus lentus,MCH,17853850,quad,1102,472,630
Sauropodomorpha,Camarasaurus lewisi,Polynomial,11652200,quad,1102,472,630
Sauropodomorpha,Camarasaurus sp.,Physical,23000000,quad,1102,472,630
Sauropodomorpha,Camarasaurus supremus,Physical,8800000,quad,1102,472,630
Sauropodomorpha,Mamenchisaurus hochuanensis,MCH,9542738,quad,1089,509,580
Sauropodomorpha,Mamenchisaurus hochuanensis,MCH,12056901,quad,1089,509,580
Sauropodomorpha,Mamenchisaurus hochuanensis,MCH,17123730,quad,1089,509,580
Sauropodomorpha,Mamenchisaurus hochuanensis,Physical,14300000,quad,1089,509,580
Sauropodomorpha,Mamenchisaurus hochuanensis,Physical,15100000,quad,1089,509,580
Sauropodomorpha,Mamenchisaurus hochuanensis,Polynomial,18169700,quad,1089,509,580
Sauropodomorpha,Lufengosaurus huenei,MCH,1213060,bip,,,365
Sauropodomorpha,Lufengosaurus huenei,MCH,1496860,bip,,,365
Sauropodomorpha,Lufengosaurus huenei,MCH,2068910,bip,,,365
Sauropodomorpha,Lufengosaurus huenei,Physical,1650000,bip,,,365
Sauropodomorpha,Lufengosaurus huenei,Polynomial,1193300,bip,,,365
Sauropodomorpha,Plateosaurus engelhardti,Scan,1020000,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,Scan,484000,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,Scan,753000,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,MCH,389200,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,MCH,494330,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,MCH,714170,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,Scan,630000,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,Scan,912000,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,Scan,660240,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,Scan,692640,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,Scan,782070,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,Scan,749340,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,Scan,837500,bip,,,205
Sauropodomorpha,Plateosaurus engelhardti,Polynomial,1072600,bip,376,139.5,236.5
Sauropodomorpha,Riojasaurus incertus,Polynomial,3038700,bip,514,229,285
Sauropodomorpha,Patagotitan mayorum,MCH,44210000,quad,1792,782,1010
Sauropodomorpha,Patagotitan mayorum,MCH,54957000,quad,1792,782,1010
Sauropodomorpha,Patagotitan mayorum,MCH,77570000,quad,1792,782,1010
Sauropodomorpha,Saltasaurus loricatus,Physical,2480000,quad,726,341,385
Theropoda,Allosaurus fragilis,Physical,2300000,bip,,,355
Theropoda,Allosaurus fragilis,Scan,1340000,bip,,,275
Theropoda,Allosaurus fragilis,Scan,1880000,bip,,,275
Theropoda,Allosaurus fragilis,Scan,895000,bip,,,275
Theropoda,Allosaurus fragilis,Physical,1620000,bip,,,355
Theropoda,Allosaurus fragilis,Physical,2087000,bip,,,355
Theropoda,Allosaurus fragilis,Photogrammetry,3300000,bip,,,355
Theropoda,Allosaurus fragilis,Slicing,1092000,bip,,,305
Theropoda,Allosaurus fragilis,Slicing,984000,bip,,,305
Theropoda,Allosaurus fragilis,Slicing,963000,bip,,,338
Theropoda,Allosaurus fragilis,Physical,1320000,bip,,,338
Theropoda,Allosaurus fragilis,Physical,1010000,bip,,,338
Theropoda,Allosaurus fragilis,Polynomial,952000,bip,,,338
Theropoda,Allosaurus fragilis,Slicing,1512100,bip,,,338
Theropoda,Allosaurus fragilis,Slicing,1683330,bip,,,338
Theropoda,Sinraptor dongi,Physical,1700000,bip,,,283
Theropoda,Elaphrosaurus bambergi,Physical,210000,bip,,,167
Theropoda,Masiakasaurus knopfleri,Physical,11000,bip,,,36
Theropoda,Coelophysis bauri,Physical,19900,bip,,,49
Theropoda,Coelophysis bauri,Physical,17800,bip,,,49
Theropoda,Ornitholestes hermanni,Physical,16500,bip,,,71
Theropoda,Deinonychus antirrhopus,Physical,73000,bip,,,116
Theropoda,Deinonychus antirrhopus,Physical,73000,bip,,,116
Theropoda,Deinonychus antirrhopus,Polynomial,44300,bip,,,116
Theropoda,Deinonychus antirrhopus,Slicing,56670,bip,,,116
Theropoda,Dromiceiomimus brevitertius,Physical,160000,bip,,,127.5
Theropoda,Dromiceiomimus brevitertius,Physical,144000,bip,,,127.5
Theropoda,Falcarius utahensis,Physical,100000,bip,,,110
Theropoda,Microvenator celer,Physical,4500,bip,,,37.5
Theropoda,Struthiomimus sedens,Scan,568000,bip,,,145
Theropoda,Struthiomimus sedens,Scan,741000,bip,,,145
Theropoda,Struthiomimus sedens,Scan,394000,bip,,,145
Theropoda,Struthiomimus sedens,Scan,422647,bip,,,145
Theropoda,Struthiomimus sedens,Scan,524139,bip,,,145
Theropoda,Struthiomimus sedens,Scan,465829,bip,,,145
Theropoda,Struthiomimus sedens,Scan,381444,bip,,,145
Theropoda,Velociraptor mongoliensis,Scan,18300,bip,,,62
Theropoda,Velociraptor mongoliensis,Scan,9890,bip,,,62
Theropoda,Velociraptor mongoliensis,Scan,14100,bip,,,62
Theropoda,Velociraptor mongoliensis,Physical,15000,bip,,,62
Theropoda,Herrerasaurus ischigualastensis,Physical,145000,bip,,,165.5
Theropoda,Herrerasaurus ischigualastensis,Slicing,643300,bip,,,165.5
Theropoda,Herrerasaurus ischigualastensis,Polynomial,347800,bip,,,165.5
Theropoda,Daspletosaurus torosus,Slicing,3084800,bip,,,390
Theropoda,Tyrannosaurus rex,Physical,7700000,bip,,,534
Theropoda,Tyrannosaurus rex,Physical,6300000,bip,,,534
Theropoda,Tyrannosaurus rex,Physical,6250000,bip,,,534
Theropoda,Tyrannosaurus rex,Physical,6895000,bip,,,534
Ornithischia,Ankylosaurus magniventris,Physical,3900000,quad,678,315,363
Ornithischia,Gastonia burgei,Physical,1850000,quad,435,177,258
Ornithischia,Saichania ,Polynomial,1417200,quad,321,155,166
Ornithischia,Centrosaurus apertus,Physical,1400000,quad,535,249,286
Ornithischia,Centrosaurus apertus,Polynomial,1079700,quad,535,249,286
Ornithischia,Chasmosaurus belli,Slicing,1595000,quad,656,293,363
Ornithischia,Chasmosaurus belli,Physical,2060000,quad,656,293,363
Ornithischia,Chasmosaurus russelli,Slicing,927000,quad,605,270,335
Ornithischia,Chasmosaurus russelli,Physical,1500000,quad,605,270,335
Ornithischia,Chasmosaurus russelli,Polynomial,1658700,quad,605,270,335
Ornithischia,Homalocephale calathocercos,Physical,36000,bip,,,83
Ornithischia,Homalocephale calathocercos,Polynomial,73700,bip,,,83
Ornithischia,Leptoceratops gracilis,Physical,93000,quad,202,87,115
Ornithischia,Pentaceratops sternbergii,Physical,4700000,quad,912,400.5,511.5
Ornithischia,Psittacosaurus neimongoliensis,Slicing,8000,bip,,,47.8
Ornithischia,Psittacosaurus neimongoliensis,Physical,7900,bip,,,47.8
Ornithischia,Stegoceras validum,Polynomial,26700,bip,,,68
Ornithischia,Fruitadens haagarorum,Slicing,740,bip,,,19.6
Ornithischia,Laosaurus consors,Physical,31000,bip,,,92.5
Ornithischia,Lesothosaurus diagnosticus,Physical,2400,bip,,,43
Ornithischia,Lesothosaurus diagnosticus,Scan,5000,bip,,,43
Ornithischia,Scelidosaurus harrisonii,Slicing,323000,bip,,,174
Ornithischia,Scelidosaurus harrisonii,Slicing,114000,bip,,,174
Ornithischia,Bactrosaurus johnsoni,Physical,1200000,quad,475,136,339
Ornithischia,Bactrosaurus johnsoni,Polynomial,1588900,quad,475,136,339
Ornithischia,Brachylophosaurus canadensis,Physical,4150000,quad,661,221,440
Ornithischia,Camptosaurus dispar,Physical,474000,quad,424,138,286
Ornithischia,Corythosaurus intermedius,Physical,2510000,quad,602.5,237.5,365
Ornithischia,Dryosaurus altus,Physical,103000,bip,,,133
Ornithischia,Dysalotosaurus lettowvorbecki,Physical,79000,bip,,,120.5
Ornithischia,Edmontosaurus annectens,Physical,3400000,quad,762.8,250.5,512.3
Ornithischia,Edmontosaurus annectens,Physical,3071000,quad,762.8,250.5,512.3
Ornithischia,Edmontosaurus annectens,Physical,3200000,quad,762.8,250.5,512.3
Ornithischia,Edmontosaurus annectens,Polynomial,7594400,quad,762.8,250.5,512.3
Ornithischia,Edmontosaurus regalis,Slicing,4994000,quad,771,291,480
Ornithischia,Edmontosaurus regalis,Physical,2900000,quad,470,235,235
Ornithischia,Edmontosaurus regalis,Physical,3670000,quad,771,291,480
Ornithischia,Hypacrosaurus altispinus,Physical,2640000,quad,617,222,395
Ornithischia,Hypsilophodon foxii,Slicing,15600,bip,,,55
Ornithischia,Hypsilophodon foxii,Polynomial,7000,bip,,,55
Ornithischia,Iguanodon bernisartensis,Physical,5400000,quad,827.5,337.5,490
Ornithischia,Iguanodon bernisartensis,Physical,5000000,quad,827.5,337.5,490
Ornithischia,Iguanodon bernisartensis,Physical,4514000,quad,827.5,337.5,490
Ornithischia,Iguanodon bernisartensis,Photogrammetry,8400000,quad,827.5,337.5,490
Ornithischia,Iguanodon bernisartensis,Slicing,3790000,quad,827.5,337.5,490
Ornithischia,Iguanodon bernisartensis,Slicing,2559000,quad,827.5,337.5,490
Ornithischia,Iguanodon bernisartensis,Physical,3200000,quad,827.5,337.5,490
Ornithischia,Iguanodon bernisartensis,Polynomial,3775700,quad,827.5,337.5,490
Ornithischia,Lambeosaurus lambei,Slicing,1804000,quad,592.5,225,367.5
Ornithischia,Lambeosaurus lambei,Slicing,2372000,quad,592.5,225,367.5
Ornithischia,Lambeosaurus lambei,Physical,2430000,quad,592.5,225,367.5
Ornithischia,Maiasaura peeblesorum,Physical,2250000,quad,615,205,410
Ornithischia,Mantellisaurus atherfieldensis,Physical,1100000,quad,437,167,270
Ornithischia,Olorotitan arharensis,Physical,3100000,quad,643,248,395
Ornithischia,Parasaurolophus walkeri,Physical,2600000,quad,680,260,420
Ornithischia,Parasaurolophus walkeri,Polynomial,5056800,quad,680,260,420
Ornithischia,Parksosaurus warreni,Physical,43000,bip,,,103
Ornithischia,Prosaurolophus maximus,Physical,2000000,quad,580,225,355
Ornithischia,Saurolophus osborni,Physical,2970000,quad,764,255,509
Ornithischia,Shantugosaurus giganteus,Polynomial,22467100,quad,1084,404,680
Ornithischia,Tenontosaurus tilletti,Physical,597000,quad,386.5,159,227.5
Ornithischia,Tenontosaurus tilletti,Polynomial,242900,quad,386.5,159,227.5
